Barcode_i	Barcode_j	Condition1	Condition2	Z_Condition1	Z_Condition2	Class_Condition1	Class_Condition2	DeltaZ	DeltaZ_FDR
MAG1_donor_1	CSM3_recipient_2	NoDrug	DMSO	0.0107035695835618	5.26901878504151	NEUTRAL	ALLEVIATING	-5.25831521545794	1.90019771360243e-06
MMS1_donor_1	CSM3_recipient_2	NoDrug	DMSO	-3.906990802681	-0.658789708414941	AGGRAVATING	NEUTRAL	-3.24820109426606	0.0104776773498358
MMS1_donor_2	RAD55_recipient_1	NoDrug	DMSO	1.18649127523334	-3.90366727970898	NEUTRAL	AGGRAVATING	5.09015855494233	8.4971722310918e-06
MMS1_donor_2	RTT101_recipient_2	NoDrug	DMSO	3.11925593569646	9.23265371521672	NEUTRAL	ALLEVIATING	-6.11339777952027	7.62541599602766e-09
MPH1_donor_1	RAD54_recipient_2	NoDrug	DMSO	2.06958408213282	6.9585701638964	NEUTRAL	ALLEVIATING	-4.88898608176358	1.41652292818006e-05
MPH1_donor_1	CSM2_recipient_1	NoDrug	DMSO	-1.01567271690376	-4.75462768147382	NEUTRAL	AGGRAVATING	3.73895496457006	0.00158880066538297
MPH1_donor_1	SGS1_recipient_1	NoDrug	DMSO	-1.0807617977527	-4.1085039866596	NEUTRAL	AGGRAVATING	3.02774218890689	0.0189199250423705
MPH1_donor_2	RAD18_recipient_1	NoDrug	DMSO	-0.885827067825426	-4.17136495875166	NEUTRAL	AGGRAVATING	3.28553789092623	0.00873933248851765
MPH1_donor_2	RTT107_recipient_1	NoDrug	DMSO	-4.51083682379367	-0.924810079905585	AGGRAVATING	NEUTRAL	-3.58602674388809	0.00382058606083092
RAD51_donor_1	RAD61_recipient_1	NoDrug	DMSO	-4.33859933746019	-0.973843308109048	AGGRAVATING	NEUTRAL	-3.36475602935114	0.00784936358740028
RAD51_donor_1	SHU1_recipient_2	NoDrug	DMSO	-0.0417324853087556	-3.9366068011476	NEUTRAL	AGGRAVATING	3.89487431583884	0.00106961821157418
RAD51_donor_2	RAD18_recipient_1	NoDrug	DMSO	-1.23053305464591	-5.10016482702782	NEUTRAL	AGGRAVATING	3.86963177238191	0.00111581023932216
RAD51_donor_2	CSM3_recipient_1	NoDrug	DMSO	2.61083594260607	5.88454273742189	NEUTRAL	ALLEVIATING	-3.27370679481582	0.0103682427095191
RAD54_donor_2	CSM3_recipient_2	NoDrug	DMSO	-1.11097086112691	-4.0077594848222	NEUTRAL	AGGRAVATING	2.89678862369529	0.0283270059470207
RAD59_donor_1	RAD54_recipient_1	NoDrug	DMSO	0.20681343563877	4.4208653803109	NEUTRAL	ALLEVIATING	-4.21405194467213	0.000358509817881734
RAD59_donor_1	RAD61_recipient_1	NoDrug	DMSO	-2.53078675520638	-5.27061102824095	NEUTRAL	AGGRAVATING	2.73982427303457	0.0385537571729877
RAD59_donor_1	RTT101_recipient_1	NoDrug	DMSO	-0.188571605977692	-4.21571073749583	NEUTRAL	AGGRAVATING	4.02713913151814	0.000742441239757333
RAD59_donor_1	SHU2_recipient_1	NoDrug	DMSO	-1.40659642289011	-4.12138061688028	NEUTRAL	AGGRAVATING	2.71478419399017	0.0402644734966781
RTT101_donor_1	RAD54_recipient_1	NoDrug	DMSO	5.17250105353534	1.34404430788883	ALLEVIATING	NEUTRAL	3.82845674564651	0.00117874854466754
RTT101_donor_1	RAD55_recipient_1	NoDrug	DMSO	5.62650981906248	0.743561049491128	ALLEVIATING	NEUTRAL	4.88294876957135	1.50764380901894e-05
RTT101_donor_1	RAD59_recipient_1	NoDrug	DMSO	-1.95141832751632	-4.77748478910783	NEUTRAL	AGGRAVATING	2.82606646159151	0.0319526222241436
RTT101_donor_1	SHU2_recipient_1	NoDrug	DMSO	-3.2893032647683	-6.1980776609415	NEUTRAL	AGGRAVATING	2.9087743961732	0.0279304162584321
RTT107_donor_1	RAD18_recipient_1	NoDrug	DMSO	-0.676266876852412	-5.74789172025493	NEUTRAL	AGGRAVATING	5.07162484340251	6.35710377679147e-06
RTT107_donor_2	RTT101_recipient_1	NoDrug	DMSO	-6.43044751234912	-3.57873341933852	AGGRAVATING	NEUTRAL	-2.8517140930106	0.03295243535383
CLA4_donor_2	RTT101_recipient_1	NoDrug	DMSO	-5.69034236754985	-2.74658094457123	AGGRAVATING	NEUTRAL	-2.94376142297862	0.0248549811302328
SGS1_donor_1	MMS1_recipient_1	NoDrug	DMSO	-3.21227541230069	-5.95269488855594	NEUTRAL	AGGRAVATING	2.74041947625525	0.0393880706500575
SGS1_donor_1	RAD57_recipient_1	NoDrug	DMSO	3.90144725885282	6.73879598587974	NEUTRAL	ALLEVIATING	-2.83734872702692	0.0337214051507785
SHU1_donor_1	RAD18_recipient_1	NoDrug	DMSO	-4.65073648373322	-1.9722705527826	AGGRAVATING	NEUTRAL	-2.67846593095062	0.0482747523759192
SHU1_donor_1	SHU2_recipient_2	NoDrug	DMSO	3.81443339842395	7.73210125888551	NEUTRAL	ALLEVIATING	-3.91766786046155	0.00102218744732741
SRS2_donor_1	RAD55_recipient_1	NoDrug	DMSO	7.76511468118676	4.14182610142536	ALLEVIATING	NEUTRAL	3.62328857976141	0.00255975426200786
CSM2_donor_1	CSM3_recipient_1	NoDrug	DMSO	-2.14781034236091	-4.95714703516237	NEUTRAL	AGGRAVATING	2.80933669280147	0.0330933277471704
CSM3_donor_2	RAD54_recipient_1	NoDrug	DMSO	1.8645120410087	5.32369331628804	NEUTRAL	ALLEVIATING	-3.45918127527934	0.0058735521060332
MAG1_donor_1	MPH1_recipient_1	NoDrug	MMS	-3.59204575602787	-7.64072203432492	NEUTRAL	AGGRAVATING	4.04867627829706	0.000751449609709922
MAG1_donor_1	PSY3_recipient_1	NoDrug	MMS	0.121395129134354	-11.0231169228189	NEUTRAL	AGGRAVATING	11.1445120519532	5.05905757854031e-23
MAG1_donor_1	PSY3_recipient_2	NoDrug	MMS	1.15434515951211	-14.4648118473824	NEUTRAL	AGGRAVATING	15.6191570068945	8.33490991992684e-44
MAG1_donor_1	RAD18_recipient_1	NoDrug	MMS	-3.7273666355902	6.04071624346365	AGGRAVATING	ALLEVIATING	-9.76808287905384	7.84033669450266e-18
MAG1_donor_1	RAD18_recipient_2	NoDrug	MMS	-6.58962542497694	6.11446940549627	AGGRAVATING	ALLEVIATING	-12.7040948304732	1.70978047982077e-29
MAG1_donor_1	RAD51_recipient_1	NoDrug	MMS	0.387884975924273	-4.64299896968741	NEUTRAL	AGGRAVATING	5.03088394561169	1.832284188354e-05
MAG1_donor_1	RAD54_recipient_2	NoDrug	MMS	-0.0124183262766275	-9.03887520357101	NEUTRAL	AGGRAVATING	9.02645687729438	1.68323061544636e-15
MAG1_donor_1	RAD55_recipient_1	NoDrug	MMS	-0.709070017843587	-5.4803507930592	NEUTRAL	AGGRAVATING	4.77128077521561	5.25480003096384e-05
MAG1_donor_1	CSM2_recipient_1	NoDrug	MMS	0.618239771223816	-11.2248121770313	NEUTRAL	AGGRAVATING	11.8430519482551	8.1737985713085e-26
MAG1_donor_1	RAD57_recipient_1	NoDrug	MMS	-2.50275850372921	-7.46148629081162	NEUTRAL	AGGRAVATING	4.95872778708241	2.44918708527762e-05
MAG1_donor_1	RTT107_recipient_1	NoDrug	MMS	-0.549972982089793	-3.86247403282202	NEUTRAL	AGGRAVATING	3.31250105073223	0.00757252004547668
MAG1_donor_1	SGS1_recipient_1	NoDrug	MMS	-0.94907172888953	-7.07527820559236	NEUTRAL	AGGRAVATING	6.12620647670283	1.14273217835792e-07
MAG1_donor_1	SHU1_recipient_1	NoDrug	MMS	-1.3758146798796	-12.4008527507076	NEUTRAL	AGGRAVATING	11.025038070828	1.45439038820367e-22
MAG1_donor_1	CSM2_recipient_2	NoDrug	MMS	0.785603318049661	-12.8117523813457	NEUTRAL	AGGRAVATING	13.5973556993953	1.44828775372118e-33
MAG1_donor_1	SHU1_recipient_2	NoDrug	MMS	-1.81344236690901	-11.514897170497	NEUTRAL	AGGRAVATING	9.70145480358795	1.02517872730881e-17
MAG1_donor_1	SHU2_recipient_1	NoDrug	MMS	2.9373209046128	-12.5211170493794	NEUTRAL	AGGRAVATING	15.4584379539922	5.90464503066709e-43
MAG1_donor_1	SHU2_recipient_2	NoDrug	MMS	-0.997342025638113	-15.892414727269	NEUTRAL	AGGRAVATING	14.8950727016309	5.21957069292763e-40
MAG1_donor_1	SLX4_recipient_1	NoDrug	MMS	-0.979450555354468	-17.489611253542	NEUTRAL	AGGRAVATING	16.5101606981875	9.30873322014124e-49
